tth,counts
5.01313028,638
5.039390845,653
5.065651411,597
5.091911976,618
5.118172541,684
5.144433107,681
5.170693672,656
5.196954237,597
5.223214803,619
5.249475368,632
5.275735934,636
5.301996499,664
5.328257064,634
5.35451763,604
5.380778195,612
5.40703876,580
5.433299326,620
5.459559891,582
5.485820456,648
5.512081022,575
5.538341587,611
5.564602152,646
5.590862718,628
5.617123283,611
5.643383849,612
5.669644414,620
5.695904979,614
5.722165545,609
5.74842611,657
5.774686675,643
5.800947241,672
5.827207806,576
5.853468371,636
5.879728937,619
5.905989502,556
5.932250067,578
5.958510633,648
5.984771198,626
6.011031764,616
6.037292329,594
6.063552894,609
6.08981346,577
6.116074025,608
6.14233459,569
6.168595156,587
6.194855721,639
6.221116286,611
6.247376852,568
6.273637417,607
6.299897982,624
6.326158548,580
6.352419113,638
6.378679678,623
6.404940244,606
6.431200809,580
6.457461375,597
6.48372194,558
6.509982505,546
6.536243071,564
6.562503636,649
6.588764201,587
6.615024767,583
6.641285332,587
6.667545897,561
6.693806463,574
6.720067028,605
6.746327593,590
6.772588159,592
6.798848724,582
6.82510929,623
6.851369855,579
6.87763042,614
6.903890986,551
6.930151551,574
6.956412116,525
6.982672682,565
7.008933247,605
7.035193812,535
7.061454378,569
7.087714943,546
7.113975508,584
7.140236074,543
7.166496639,567
7.192757205,542
7.21901777,468
7.245278335,573
7.271538901,547
7.297799466,514
7.324060031,553
7.350320597,564
7.376581162,584
7.402841727,546
7.429102293,560
7.455362858,528
7.481623423,532
7.507883989,625
7.534144554,581
7.56040512,572
7.586665685,558
7.61292625,563
7.639186816,540
7.665447381,501
7.691707946,553
7.717968512,525
7.744229077,516
7.770489642,540
7.796750208,524
7.823010773,543
7.849271338,512
7.875531904,505
7.901792469,497
7.928053034,547
7.9543136,506
7.980574165,544
8.006834731,539
8.033095296,491
8.059355861,480
8.085616427,485
8.111876992,537
8.138137557,443
8.164398123,550
8.190658688,563
8.216919253,516
8.243179819,542
8.269440384,518
8.295700949,502
8.321961515,476
8.34822208,505
8.374482646,460
8.400743211,531
8.427003776,549
8.453264342,478
8.479524907,532
8.505785472,486
8.532046038,492
8.558306603,480
8.584567168,512
8.610827734,518
8.637088299,520
8.663348864,519
8.68960943,536
8.715869995,520
8.742130561,453
8.768391126,501
8.794651691,534
8.820912257,505
8.847172822,493
8.873433387,486
8.899693953,457
8.925954518,452
