tth,counts
5.01313028,799
5.039390845,818
5.065651411,824
5.091911976,805
5.118172541,777
5.144433107,746
5.170693672,763
5.196954237,821
5.223214803,794
5.249475368,793
5.275735934,800
5.301996499,748
5.328257064,769
5.35451763,732
5.380778195,764
5.40703876,744
5.433299326,713
5.459559891,751
5.485820456,718
5.512081022,746
5.538341587,798
5.564602152,738
5.590862718,760
5.617123283,701
5.643383849,708
5.669644414,693
5.695904979,712
5.722165545,667
5.74842611,774
5.774686675,700
5.800947241,703
5.827207806,686
5.853468371,697
5.879728937,686
5.905989502,671
5.932250067,731
5.958510633,713
5.984771198,624
6.011031764,701
6.037292329,690
6.063552894,652
6.08981346,688
6.116074025,750
6.14233459,636
6.168595156,705
6.194855721,665
6.221116286,640
6.247376852,650
6.273637417,669
6.299897982,717
6.326158548,671
6.352419113,625
6.378679678,657
6.404940244,643
6.431200809,654
6.457461375,629
6.48372194,611
6.509982505,657
6.536243071,642
6.562503636,690
6.588764201,662
6.615024767,676
6.641285332,616
6.667545897,611
6.693806463,628
6.720067028,670
6.746327593,621
6.772588159,627
6.798848724,652
6.82510929,648
6.851369855,591
6.87763042,628
6.903890986,642
6.930151551,650
6.956412116,644
6.982672682,643
7.008933247,634
7.035193812,609
7.061454378,649
7.087714943,627
7.113975508,623
7.140236074,600
7.166496639,622
7.192757205,619
7.21901777,609
7.245278335,583
7.271538901,636
7.297799466,598
7.324060031,593
7.350320597,579
7.376581162,584
7.402841727,613
7.429102293,583
7.455362858,582
7.481623423,588
7.507883989,615
7.534144554,576
7.56040512,598
7.586665685,590
7.61292625,607
7.639186816,597
7.665447381,613
7.691707946,557
7.717968512,543
7.744229077,599
7.770489642,555
7.796750208,590
7.823010773,575
7.849271338,596
7.875531904,618
7.901792469,635
7.928053034,571
7.9543136,553
7.980574165,600
8.006834731,535
8.033095296,606
8.059355861,582
8.085616427,546
8.111876992,580
8.138137557,586
8.164398123,637
8.190658688,586
8.216919253,605
8.243179819,572
8.269440384,602
8.295700949,584
8.321961515,569
8.34822208,567
8.374482646,595
8.400743211,581
8.427003776,583
8.453264342,555
8.479524907,606
8.505785472,628
8.532046038,587
8.558306603,544
8.584567168,534
8.610827734,612
8.637088299,573
8.663348864,601
8.68960943,567
8.715869995,556
8.742130561,561
8.768391126,628
8.794651691,617
8.820912257,567
8.847172822,651
8.873433387,628
8.899693953,592
8.925954518,565
8.952215083,595
8.978475649,618
9.004736214,663
9.030996779,629
9.057257345,656
9.08351791,678
9.109778475,705
9.136039041,760
9.162299606,751
9.188560172,808
9.214820737,864
9.241081302,891
9.267341868,973
9.293602433,1015
9.319862998,1115
9.346123564,1182
9.372384129,1290
9.398644694,1375
9.42490526,1496
9.451165825,1666
9.47742639,1852
9.503686956,1933
9.529947521,1982
9.556208087,2013
9.582468652,2035
9.608729217,2081
9.634989783,2061
9.661250348,1823
9.687510913,1687
9.713771479,1548
9.740032044,1389
9.766292609,1216
9.792553175,1144
9.81881374,972
9.845074305,907
9.871334871,844
9.897595436,781
9.923856002,697
9.950116567,662
9.976377132,667
10.0026377,657
10.02889826,611
10.05515883,596
10.08141939,585
10.10767996,533
10.13394052,574
10.16020109,525
10.18646166,547
10.21272222,504
10.23898279,520
10.26524335,503
10.29150392,522
10.31776448,505
10.34402505,538
10.37028561,495
10.39654618,492
10.42280674,460
10.44906731,505
10.47532787,497
10.50158844,544
10.52784901,505
10.55410957,487
10.58037014,483
10.6066307,484
10.63289127,430
10.65915183,470
10.6854124,470
10.71167296,448
10.73793353,467
10.76419409,448
10.79045466,497
10.81671522,461
10.84297579,483
10.86923635,436
10.89549692,490
10.92175749,440
10.94801805,455
10.97427862,450
11.00053918,452
11.02679975,497
11.05306031,445
11.07932088,468
11.10558144,433
11.13184201,440
11.15810257,482
11.18436314,435
11.2106237,463
11.23688427,464
11.26314484,405
11.2894054,474
11.31566597,447
11.34192653,447
11.3681871,450
11.39444766,443
11.42070823,447
11.44696879,415
11.47322936,425
11.49948992,392
11.52575049,426
11.55201105,424
11.57827162,422
11.60453218,401
11.63079275,421
11.65705332,445
11.68331388,445
11.70957445,429
11.73583501,428
11.76209558,454
11.78835614,463
11.81461671,437
11.84087727,425
11.86713784,398
11.8933984,416
11.91965897,407
11.94591953,384
11.9721801,459
11.99844067,443
12.02470123,401
12.0509618,455
12.07722236,381
12.10348293,409
12.12974349,442
12.15600406,474
12.18226462,429
12.20852519,403
12.23478575,399
12.26104632,391
12.28730688,409
12.31356745,434
12.33982801,397
12.36608858,406
12.39234915,393
12.41860971,404
12.44487028,409
12.47113084,397
12.49739141,433
12.52365197,433
12.54991254,416
12.5761731,434
12.60243367,396
12.62869423,383
12.6549548,372
12.68121536,387
12.70747593,366
12.7337365,427
12.75999706,417
12.78625763,406
12.81251819,394
12.83877876,418
12.86503932,383
12.89129989,396
12.91756045,443
12.94382102,408
12.97008158,420
12.99634215,414
13.02260271,428
13.04886328,421
13.07512384,402
13.10138441,422
13.12764498,419
13.15390554,417
13.18016611,431
13.20642667,442
13.23268724,436
13.2589478,451
13.28520837,452
13.31146893,470
13.3377295,519
13.36399006,546
13.39025063,500
13.41651119,513
13.44277176,589
13.46903233,650
13.49529289,684
13.52155346,750
13.54781402,782
13.57407459,910
13.60033515,1030
13.62659572,1181
13.65285628,1284
13.67911685,1479
13.70537741,1658
13.73163798,1885
13.75789854,1971
13.78415911,2122
13.81041967,2133
13.83668024,1991
13.86294081,1884
13.88920137,1781
13.91546194,1495
13.9417225,1291
13.96798307,1150
13.99424363,926
14.0205042,833
14.04676476,698
14.07302533,687
14.09928589,597
14.12554646,554
14.15180702,520
14.17806759,537
14.20432815,467
14.23058872,444
14.25684929,470
14.28310985,460
14.30937042,456
14.33563098,410
14.36189155,398
14.38815211,423
14.41441268,425
14.44067324,397
14.46693381,405
14.49319437,407
14.51945494,429
14.5457155,425
14.57197607,414
14.59823664,406
14.6244972,391
14.65075777,447
14.67701833,415
14.7032789,431
14.72953946,461
14.75580003,467
14.78206059,521
14.80832116,523
14.83458172,560
14.86084229,601
14.88710285,659
14.91336342,681
14.93962398,747
14.96588455,789
14.99214512,886
15.01840568,1020
15.04466625,1195
15.07092681,1438
15.09718738,1822
15.12344794,2167
15.14970851,2539
15.17596907,3320
15.20222964,4062
15.2284902,4868
15.25475077,5566
15.28101133,5703
15.3072719,5381
15.33353247,4697
15.35979303,3536
15.3860536,2604
15.41231416,1978
15.43857473,1456
15.46483529,1150
15.49109586,915
15.51735642,854
15.54361699,748
15.56987755,609
15.59613812,575
15.62239868,501
15.64865925,527
15.67491981,508
15.70118038,461
15.72744095,504
15.75370151,391
15.77996208,391
15.80622264,389
15.83248321,359
15.85874377,353
15.88500434,360
15.9112649,387
15.93752547,335
15.96378603,336
15.9900466,345
16.01630716,359
16.04256773,352
16.0688283,359
16.09508886,348
16.12134943,369
16.14760999,320
16.17387056,297
16.20013112,353
16.22639169,339
16.25265225,307
16.27891282,328
16.30517338,307
16.33143395,303
16.35769451,304
16.38395508,298
16.41021564,312
16.43647621,307
16.46273678,284
16.48899734,309
16.51525791,323
16.54151847,292
16.56777904,297
16.5940396,309
16.62030017,339
16.64656073,324
16.6728213,286
16.69908186,299
16.72534243,308
16.75160299,288
16.77786356,269
16.80412413,286
16.83038469,289
16.85664526,279
16.88290582,290
16.90916639,278
16.93542695,305
16.96168752,288
16.98794808,305
17.01420865,292
17.04046921,274
17.06672978,323
17.09299034,292
17.11925091,252
17.14551147,304
17.17177204,306
17.19803261,258
17.22429317,313
